CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,885,"6,837.35","9,217.80",885,"41,500.00","1,800",3.70,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"6,244.95","8,672.35",885,"42,000.00","12,330",6.90,-,-,-,4.40,-,-,-,3,
,-,-,-,-,-,-,885,"5,786.25","8,126.25",885,"42,500.00","3,900",7.45,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"5,333.00","7,577.20",885,"43,000.00",30,23.30,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"4,877.05","7,015.15",885,"43,500.00",600,36.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"4,417.75","6,487.80",885,"44,000.00",15,22.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"3,961.75","5,941.80",885,"44,500.00",15,37.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"3,505.75","5,419.40",885,"45,000.00",15,55.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"3,082.00","4,873.30",885,"45,500.00",300,85.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"2,600.15","4,327.30",885,"46,000.00",15,240.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"4,098.15",885,"46,200.00",300,187.60,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"2,352.45","3,998.55",885,"46,300.00",300,200.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"2,235.35","3,890.50",885,"46,400.00",300,200.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,450,"2,096.65","3,781.15",885,"46,500.00",495,310.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,465,"2,041.25","3,679.25",885,"46,600.00",300,250.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"1,986.40","3,575.95",885,"46,700.00",300,250.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,480,"1,932.10","3,468.80",885,"46,800.00",300,250.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"3,350.40",885,"46,900.00",15,250.00,-,-,-,-,-,-,-,-,
