CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,225,"9,095.70","10,718.45",300,"39,500.00",900,0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,225,"8,608.00","9,921.60",300,"40,000.00",900,0.30,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,225,"8,119.20","9,628.75",885,"40,500.00",900,1.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,225,"7,552.50","8,863.85",885,"41,000.00",900,1.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,225,"7,105.30","8,326.65",885,"41,500.00",900,1.50,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,225,"6,624.65","7,986.55",885,"42,000.00","1,800",1.50,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,225,"6,150.30","7,266.40",885,"42,500.00","3,000",3.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,225,"5,653.10","6,725.95",885,"43,000.00","3,900",3.05,-,-,-,8.50,-,-,-,10,
,-,-,-,-,-,-,225,"5,183.90","6,202.85",300,"43,500.00","3,900",3.10,-,-,-,-,-,-,-,-,
,8,8,8,-,"4,996.05",-310.85,180,"4,944.60","5,027.50",60,"44,000.00",420,6.25,6.90,300,-1.90,6.25,25.39,"1,463",-130,461,
,-,-,-,-,-,-,225,"4,541.95","5,692.55",885,"44,100.00",900,3.10,-,-,-,-,-,-,-,-,
,1,1,1,-,"4,810.40",-303.10,225,"4,448.55","5,447.25",885,"44,200.00",900,3.10,-,-,-,-,-,-,-,-,
,1,1,1,-,"4,690.25",-326.95,225,"4,328.65","5,458.10",300,"44,300.00",900,3.10,-,-,-,-,-,-,-,-,
,4,1,1,-,"4,611.85",-374.65,225,"4,250.10","5,237.00",300,"44,400.00",900,3.10,-,-,-,-,-,-,-,-,
,3,1,1,-,"4,546.45",-331.90,225,"4,185.25","4,857.00",225,"44,500.00",135,7.65,9.50,120,-0.90,9.25,24.27,"1,833",233,587,
,2,2,2,-,"4,412.45",-317.55,225,"4,050.85","5,151.50",885,"44,600.00",150,5.35,-,-,-,21.25,-,-,-,1,
,2,1,1,-,"4,314.30",-328.40,225,"3,952.20","4,929.65",300,"44,700.00",120,6.05,-,-,-,9.95,-,-,-,132,
,4,4,4,-,"4,171.50",-368.75,225,"3,811.25","4,532.05",225,"44,800.00",30,9.15,12.00,15,0.25,9.15,22.79,118,35,50,
,1,1,1,-,"4,091.05",-354.90,225,"3,730.45","4,707.40",300,"44,900.00",120,7.05,-,-,-,39.85,-,-,-,3,
,1,1,1,-,"4,050.85",-301.25,225,"3,706.60","4,305.35",225,"45,000.00",60,11.00,13.65,45,-,11.55,22.55,"14,860",223,"2,540",
,1,1,1,-,"3,953.05",-305.60,225,"3,590.85","4,234.80",225,"45,100.00",150,9.60,13.50,60,-1.75,13.55,22.58,86,46,51,
,1,1,1,-,"3,820.70",-344.95,225,"3,459.15","4,516.20",885,"45,200.00",900,7.30,-,-,-,-,-,-,-,-,
,1,1,1,-,"3,745.45",-327.75,225,"3,383.25","4,400.25",885,"45,300.00",900,7.30,-,-,-,5.65,-,-,-,3,
,1,1,1,-,"3,576.80",-404.45,225,"3,218.40","4,299.30",885,"45,400.00",900,7.30,-,-,-,-,-,-,-,-,
,1,1,1,-,"3,564.15",-325.70,60,"3,461.60","3,514.20",60,"45,500.00",120,13.95,18.00,180,-0.15,16.35,21.16,"5,217",541,"1,991",
,1,1,1,-,"3,336.75",-462.30,225,"3,070.00","3,977.05",885,"45,600.00",900,9.00,-,-,-,-,-,-,-,-,
,1,1,1,-,"3,349.25",-359.60,225,"2,986.80","3,863.55",300,"45,700.00",900,9.45,-,-,-,-,-,-,-,-,
,1,1,1,-,"3,182.05",-437.25,225,"2,821.40","3,542.60",225,"45,800.00",120,15.70,23.25,540,9.45,22.50,20.69,194,129,134,
,1,1,1,20.65,"3,200.00",-330.40,225,"2,836.70","3,767.35",300,"45,900.00",120,13.35,-,-,-,-,-,-,-,-,
,14,4,4,-,"3,000.00",-276.20,525,"2,753.40","3,017.00",15,"46,000.00",30,22.00,25.30,900,3.60,25.30,20.02,"21,036","2,695","6,701",
,8,8,8,-,"2,925.35",-429.45,225,"2,565.10","3,543.70",885,"46,100.00",105,17.90,-,-,-,-,-,-,-,-,
,11,9,11,-,"2,797.35",-257.65,225,"2,437.00","3,158.35",885,"46,200.00",15,23.45,101.00,15,-5.10,23.45,18.65,324,79,124,
,10,8,8,-,"2,763.35",-286.95,225,"2,502.30","3,124.80",225,"46,300.00",15,31.00,45.00,15,7.60,33.70,19.41,421,37,77,
,7,7,7,-,"2,615.50",-481.75,225,"2,252.80","2,879.25",885,"46,400.00",120,28.35,84.00,15,-0.75,33.35,18.79,200,37,87,
,13,-5,13,11.77,"2,578.00",-176.95,285,"2,314.35","2,771.25",225,"46,500.00",15,36.00,45.80,15,4.05,36.65,18.57,"20,401","1,236","4,911",
,7,5,5,-,"2,438.20",946.25,225,"2,077.35","2,692.90",300,"46,600.00",120,33.05,120.00,90,6.75,41.75,18.48,381,72,96,
,19,-5,5,-,"2,357.35",-511.85,225,"2,093.45","2,572.00",300,"46,700.00",135,36.15,74.90,885,10.65,49.30,18.56,484,51,163,
,24,-,9,9.98,"2,278.30",458.50,225,"1,916.35","2,503.60",885,"46,800.00",165,42.00,-,-,19.70,69.95,19.54,"1,166",217,258,
,2,1,1,-,"2,118.00",-351.25,225,"1,884.45","2,407.55",225,"46,900.00",15,55.60,61.30,465,12.20,61.30,18.26,"2,018",177,269,
,201,2,28,-,"1,948.80",-350.20,525,"1,827.65","2,061.85",15,"47,000.00",15,62.55,64.25,60,9.85,63.75,17.79,"37,863","2,268","6,404",
,9,5,9,-,"1,931.45",-582.90,225,"1,568.95","2,220.45",300,"47,100.00",15,65.00,110.00,90,13.70,73.30,17.78,"1,256",80,257,
,27,1,11,12.47,"1,896.85",-228.15,105,"1,828.20","2,113.95",225,"47,200.00","3,600",73.00,108.00,15,15.50,82.60,17.68,"3,761",261,540,
,8,7,33,-,"1,745.65",516.95,225,"1,386.65","2,013.30",225,"47,300.00",390,90.60,97.00,15,16.55,92.15,17.54,"3,267",676,765,
,19,-,1,-,"1,627.35",-495.30,285,"1,392.20","1,948.85",225,"47,400.00",30,81.05,110.00,15,18.35,102.00,17.37,"4,420",395,935,
,959,80,562,11.24,"1,601.70",-275.95,45,"1,576.90","1,612.25",15,"47,500.00","1,800",113.00,117.40,30,22.95,116.50,17.37,"52,828","1,986","8,930",
,49,2,18,9.51,"1,492.25",-267.75,225,"1,237.05","1,552.60",240,"47,600.00",15,115.90,145.00,15,23.50,126.55,17.09,"9,689",412,922,
,39,1,20,11.71,"1,422.15",-164.90,15,"1,300.00","1,655.40",225,"47,700.00",15,96.55,150.00,15,27.25,141.40,16.99,"4,746",-165,852,
,106,8,111,13.92,"1,372.55",-279.00,60,"1,294.45","1,550.85",225,"47,800.00",450,136.00,185.00,15,33.05,161.30,17.03,"6,112",245,905,
,83,6,21,11.53,"1,241.20",-240.55,30,"1,241.25","1,286.85",30,"47,900.00",30,177.00,181.70,390,35.95,180.15,16.95,"7,638",376,848,
,"4,453",282,"2,215",13.09,"1,187.80",-262.55,15,"1,162.70","1,187.70",495,"48,000.00",45,195.55,200.30,30,38.50,196.90,16.73,"48,469","1,479","11,742",
,139,-4,19,12.80,"1,099.95",-225.40,285,769.50,"1,154.05",60,"48,100.00",900,196.10,225.35,45,49.20,225.00,16.85,"5,487",331,"1,084",
,139,58,431,13.53,"1,040.00",-192.20,30,"1,009.00","1,053.70",15,"48,200.00",900,217.20,262.00,15,46.80,242.05,16.52,"4,989",333,"1,008",
,133,-3,296,13.58,966.50,-252.00,60,928.35,"1,008.85",555,"48,300.00",390,269.45,278.05,330,58.80,277.55,16.74,"6,750",25,738,
,190,68,869,13.35,887.20,-250.30,225,753.45,949.05,225,"48,400.00",750,289.90,307.80,330,69.25,307.10,16.68,"6,422",108,"1,451",
,"2,299",262,"9,252",13.78,830.90,-231.90,270,806.80,827.95,750,"48,500.00",390,331.35,337.95,495,73.15,337.95,16.59,"32,159","1,564","6,235",
,298,58,"2,632",14.07,774.05,-218.25,15,742.05,761.45,645,"48,600.00",390,367.40,375.00,30,86.55,376.00,16.65,"7,765",7,"1,388",
,930,736,"6,641",13.29,685.00,-240.90,150,685.00,693.90,150,"48,700.00",390,405.45,415.40,330,88.65,415.40,16.66,"16,970","1,141","1,980",
,"2,756","2,555","17,412",13.45,630.00,-222.90,285,630.00,635.75,120,"48,800.00",450,447.00,455.70,15,98.90,455.30,16.62,"23,723","2,012","2,993",
,"2,793","2,598","19,358",13.59,577.80,-210.00,270,570.00,578.70,15,"48,900.00",300,475.40,500.00,15,114.10,503.15,16.72,"25,261","2,337","3,363",
,"15,086","10,065","70,898",13.48,520.00,-208.55,300,520.20,526.00,15,"49,000.00",15,540.05,547.20,15,111.75,540.10,16.44,"68,631","5,521","13,757",
,"2,013","1,502","18,214",13.75,479.10,-194.95,75,470.00,479.75,30,"49,100.00",30,581.30,621.40,255,123.65,590.35,16.46,"15,969",530,"1,596",
,"3,638","1,915","24,637",13.61,427.00,-187.75,15,425.00,435.45,390,"49,200.00",15,644.50,654.00,45,131.05,644.50,16.52,"20,052",-797,"1,125",
,"3,442","1,226","26,795",13.73,387.00,-176.25,135,385.00,390.00,105,"49,300.00",15,701.00,712.00,15,143.90,705.00,16.68,"17,552",-355,"1,795",
,"3,380",574,"19,516",13.89,351.80,-159.95,390,342.55,353.05,390,"49,400.00",15,761.55,772.00,15,160.45,765.00,16.75,"11,751",-476,794,
,"11,478","4,164","59,450",13.71,308.10,-153.75,30,308.65,314.10,15,"49,500.00",15,823.70,835.00,30,173.65,834.35,17.02,"25,376","1,060","4,327",
,"2,633",900,"14,446",13.91,280.00,-139.20,15,280.00,282.45,420,"49,600.00",15,890.65,903.20,15,181.15,890.30,16.83,"6,674",150,546,
,"2,059",518,"12,784",13.94,248.80,-127.15,30,245.70,251.45,30,"49,700.00",60,943.55,987.70,120,207.10,969.35,17.26,"3,146",198,496,
,"2,177",699,"13,331",14.01,221.85,-117.90,390,215.25,222.85,390,"49,800.00",225,820.15,"1,052.55",15,208.75,"1,040.55",17.39,"3,105",-9,273,
,"1,800",578,"10,061",14.06,196.60,-108.00,15,191.80,197.50,390,"49,900.00",45,"1,100.00","1,132.10",120,206.30,"1,096.30",16.96,525,-13,243,
,"13,807",-178,"73,469",14.09,173.30,-95.45,300,172.20,173.45,390,"50,000.00",60,"1,177.20","1,191.00",15,213.55,"1,173.80",17.15,"4,032",34,945,
,959,169,"6,285",13.94,147.50,-95.05,15,138.00,200.00,15,"50,100.00",225,"1,100.10","1,339.05",60,228.65,"1,248.85",17.20,96,-6,89,
,"2,050","1,437","8,628",14.18,134.00,-78.50,15,130.00,133.80,390,"50,200.00",60,"1,310.90","1,373.10",15,335.00,"1,493.20",22.92,50,10,14,
,"1,262",399,"8,102",14.04,113.15,-76.00,390,112.70,117.00,15,"50,300.00",225,"1,240.35","1,571.30",225,276.35,"1,459.45",19.30,7,2,5,
,"3,292","2,500","13,054",14.26,102.20,-65.45,390,98.40,102.95,390,"50,400.00",60,"1,474.95","1,524.00",30,182.95,"1,500.00",17.92,55,11,39,
