CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"39,000.00",75,5.55,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"40,500.00",30,13.00,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"42,000.00",75,25.00,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"43,500.00",15,259.00,450.00,15,-50.05,249.95,16.86,24,24,29,
-,-,-,-,-,-,-,-,-,-,-,"45,000.00",15,460.00,532.10,15,72.60,530.00,18.11,192,101,432,
-,-,-,-,-,-,-,-,-,-,-,"46,500.00",15,810.00,856.90,15,-98.20,799.95,17.96,153,58,201,
-,-,-,-,-,-,-,-,-,-,-,"48,000.00",150,"1,150.50","1,200.00",15,146.55,"1,150.00",17.74,315,197,596,
,173,5,9,10.02,"3,100.00",-162.25,45,"2,800.00",-,-,"49,500.00",15,"1,575.05","1,725.00",15,119.65,"1,657.95",17.92,104,12,326,
,104,14,34,11.19,"2,339.15",-60.85,15,"2,251.45","2,400.00",15,"51,000.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,"52,500.00",-,-,-,-,-,-,-,-,-,-,
,419,24,33,11.48,"1,100.00",-152.00,15,"1,109.70","1,281.00",15,"54,000.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,15,566.80,-,-,"55,500.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,15,410.00,777.00,15,"57,000.00",-,-,-,-,-,-,-,-,-,-,-
