CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"37,500.00",15,8.55,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"42,000.00",15,111.00,162.40,105,-,162.40,-,-,-,100,
,257,-,-,-,"4,330.00",-,-,-,"6,188.00",180,"45,000.00",45,401.50,415.00,210,58.35,415.00,18.73,318,141,"1,141",
,222,-39,39,-,"4,147.60",-152.40,60,"3,500.00",-,-,"46,500.00",30,528.70,690.00,15,55.90,616.25,17.73,149,92,409,
,369,90,114,10.31,"3,100.05",-206.55,30,"3,100.00","3,181.25",15,"48,000.00",390,"1,088.30","1,123.00",15,65.15,"1,051.30",18.15,222,73,"1,010",
,186,11,13,12.70,"2,309.85",-88.85,15,"2,194.50","2,365.00",15,"49,500.00",-,-,-,-,-,-,-,-,-,-,-
,345,-1,72,13.36,"1,600.00",-120.00,15,"1,533.20","1,667.90",15,"51,000.00",15,"2,383.95","2,480.00",30,213.45,"2,413.45",19.24,34,-21,416,
,213,-16,47,13.56,"1,036.35",-119.65,15,"1,049.70","1,109.75",15,"52,500.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,15,566.80,"1,600.00",120,"54,000.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,15,276.80,-,-,"55,500.00",-,-,-,-,-,-,-,-,-,-,-
