CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,900,"7,544.50",-,-,"40,500.00",105,28.85,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"7,104.50",-,-,"41,000.00",900,5.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"6,721.10",-,-,"41,500.00",900,6.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"6,276.00",-,-,"42,000.00",15,45.50,-,-,-,-,-,-,-,-,
,1,-,-,-,"5,600.00",-,900,"5,876.95",-,-,"42,500.00",210,66.55,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"5,559.65",-,-,"43,000.00",15,86.80,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"5,084.05",-,-,"43,500.00",900,10.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"4,813.20","6,987.10",120,"44,000.00",45,211.40,250.00,210,35.00,240.00,21.09,126,104,246,
,-,-,-,-,-,-,900,"4,286.15",-,-,"44,500.00",900,20.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"3,906.05","5,998.95",345,"45,000.00",45,367.50,400.00,300,61.25,371.20,21.03,450,190,388,
,-,-,-,-,-,-,900,"3,580.75",-,-,"45,200.00",405,45.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"3,487.30",-,-,"45,300.00",405,50.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"3,404.75",-,-,"45,400.00",405,60.15,-,-,-,276.05,-,-,-,-,
,-,-,-,-,-,-,900,"3,448.90",-,-,"45,500.00",900,60.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"3,223.30",-,-,"45,600.00",405,70.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"3,135.30",-,-,"45,700.00",405,70.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"3,047.30",-,-,"45,800.00",705,75.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"3,277.90",-,-,"45,900.00",15,420.75,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"3,286.10","5,330.85",900,"46,000.00",165,455.00,580.00,15,92.50,555.35,21.02,406,215,744,
,-,-,-,-,-,-,900,"2,642.10",-,-,"46,100.00",405,101.15,-,-,-,-,-,-,-,-,
