CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"20,900.00","18,000",32.35,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"20,950.00","18,000",36.60,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"21,000.00","3,050",41.50,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"21,050.00","5,000",40.00,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"21,100.00","3,000",46.70,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"21,150.00","3,000",50.25,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"21,200.00","2,500",54.05,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"21,250.00","3,000",58.30,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"21,300.00","1,000",44.05,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"21,350.00",25,44.10,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"21,400.00",900,142.95,-,-,97.45,130.80,20.60,59,40,40,
-,-,-,-,-,-,-,-,-,-,-,"21,450.00",50,61.25,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"21,500.00","1,650",90.90,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"21,550.00",50,68.50,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"21,600.00",100,63.25,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"21,650.00",500,109.00,-,-,7.20,65.65,14.04,1,1,1,
-,-,-,-,-,-,-,-,-,-,-,"21,700.00",100,95.10,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"21,750.00",25,101.00,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"21,800.00","3,500",212.75,-,-,133.10,212.75,20.22,23,22,22,
,-,-,-,-,-,-,-,-,-,-,"21,850.00",50,55.50,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"21,900.00",50,105.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,950.00",100,96.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,410.10,965.10,"1,800","22,000.00",400,297.40,-,-,181.00,297.75,21.33,34,31,31,
,-,-,-,-,-,-,-,-,-,-,"22,050.00",25,30.60,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"22,100.00",25,40.65,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"22,150.00",25,41.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,717.90,815.40,900,"22,200.00","1,350",72.15,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"22,250.00","1,350",216.95,-,-,-,-,-,-,-,-,
