CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,972",-724,754,134.95,"2,824.30",74.65,"1,300","2,811.20","2,826.45",300,"19,600.00","1,350",0.35,0.40,"2,750",-0.85,0.30,84.02,"1,40,023","-19,342","56,314",
,11,-,-,-,"2,705.85",-,"1,800","2,733.75","2,817.45","1,800","19,650.00","33,850",0.30,0.35,900,-0.85,0.35,83.64,"15,121","-1,500","8,884",
,59,-5,7,-,"2,705.00",-9.95,50,"2,718.40","2,764.95","1,200","19,700.00","25,300",0.30,0.45,50,-0.85,0.35,82.15,"11,446",-984,"10,384",
,10,-,-,-,"2,377.15",-,500,"2,587.30","2,713.95","1,800","19,750.00","1,100",0.30,0.40,650,-0.85,0.40,81.61,"8,046",-521,"5,108",
,64,-7,26,-,"2,606.00",-4.00,100,"2,622.00","2,631.40",300,"19,800.00","1,700",0.30,0.50,100,-0.90,0.30,78.14,"20,004",816,"20,334",
,49,-,-,-,"2,278.55",-,"1,800","2,535.65","2,622.95","1,800","19,850.00","2,200",0.25,0.40,100,-0.75,0.40,78.61,"6,611",842,"1,706",
,67,-4,6,141.07,"2,543.40",33.40,150,"2,517.65","2,528.55",100,"19,900.00",650,0.30,0.45,100,-0.85,0.30,75.21,"15,305",568,"8,152",
,10,-,-,-,"2,155.40",-,"1,800","2,428.20","2,522.95","1,800","19,950.00","5,250",0.30,0.50,500,-0.95,0.35,74.74,"4,870",122,"1,044",
,"12,383","-2,246","4,401",117.07,"2,423.95",54.50,350,"2,420.00","2,424.00",50,"20,000.00","32,550",0.30,0.40,"3,100",-0.80,0.40,74.13,"1,19,887","-12,221","68,844",
,24,-,-,-,"2,302.80",-,500,"2,243.70","2,426.85","1,000","20,050.00","23,350",0.35,0.45,100,-0.85,0.40,72.64,"5,452",705,"2,171",
,63,-1,19,-,"2,305.00",45.00,300,"2,288.10","2,328.25",200,"20,100.00","24,200",0.30,0.45,500,-1.00,0.35,70.31,"37,290","-7,999","7,093",
,11,-,-,-,"2,189.00",-,"1,800","2,221.85","2,314.45","1,800","20,150.00","72,100",0.35,0.45,"1,000",-0.90,0.35,68.83,"7,375",924,"2,212",
,582,-21,21,-,"2,190.00",24.00,100,"2,189.55","2,227.10",300,"20,200.00","7,350",0.30,0.55,"2,000",-1.05,0.30,66.45,"45,513","-8,549","12,662",
,17,-,1,112.77,"2,180.05",100.25,300,"2,149.40","2,210.30","1,450","20,250.00",750,0.35,0.55,"1,500",-0.95,0.40,66.69,"10,079",97,"1,952",
,54,-205,208,-,"2,100.00",31.30,"1,700","2,118.20","2,127.20",50,"20,300.00","3,600",0.40,0.50,"3,650",-1.00,0.40,65.20,"48,444","-2,171","20,398",
,5,-,-,-,"1,782.15",-,"1,800","2,032.00","2,113.15","1,800","20,350.00","1,150",0.40,0.55,100,-0.95,0.45,64.41,"9,371",297,"1,975",
,68,-11,20,92.42,"2,018.25",51.40,50,"2,019.90","2,029.35",100,"20,400.00","3,600",0.30,0.60,"2,000",-1.00,0.40,62.24,"29,784","-1,050","6,847",
,24,-,-,-,"1,881.85",-,"1,800","1,934.65","2,017.50","1,000","20,450.00","1,350",0.35,0.60,"1,500",-0.95,0.55,62.61,"14,347","-1,160","3,264",
,"3,270",-236,607,93.87,"1,922.60",53.95,300,"1,897.05","1,949.95","1,800","20,500.00","10,950",0.40,0.50,"5,500",-0.95,0.45,59.93,"1,33,027","-7,287","54,497",
,55,-,-,-,"1,561.75",-,"1,800","1,836.35","1,922.45","1,000","20,550.00","4,000",0.40,0.60,"2,150",-1.00,0.55,59.57,"16,396","-1,922","6,181",
,121,-22,40,-,"1,795.00",26.10,450,"1,820.55","1,830.20",100,"20,600.00","9,750",0.45,0.55,"2,300",-1.05,0.45,56.94,"1,20,544","-4,958","17,979",
,46,-,1,130.03,"1,840.00",93.20,"1,800","1,729.20","1,810.45","1,800","20,650.00",850,0.50,0.60,"8,600",-1.10,0.55,56.53,"33,309","-1,886","11,344",
,303,-505,598,63.11,"1,710.00",50.00,"2,100","1,716.95","1,763.85","3,200","20,700.00",500,0.50,0.65,500,-1.10,0.45,53.96,"80,249","-3,857","15,597",
,33,-,22,108.66,"1,708.00",136.15,"1,800","1,636.75","1,708.65",750,"20,750.00","3,400",0.50,0.60,400,-1.20,0.50,53.00,"43,860",-535,"9,564",
,334,-102,255,83.91,"1,625.60",72.60,100,"1,619.65","1,630.10","1,350","20,800.00","43,650",0.55,0.70,"1,400",-1.05,0.60,52.44,"1,00,119","-3,578","19,994",
