CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"16,000.00","10,600",3.05,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"17,000.00","13,800",3.15,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"18,000.00","13,700",11.30,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"19,000.00",100,53.55,58.95,25,5.85,53.55,20.00,254,41,753,
-,-,-,-,-,-,-,-,-,-,-,"20,000.00",700,104.45,111.80,150,11.95,104.40,18.63,952,349,"5,781",
,4,-,-,-,"2,179.60",-,750,"1,627.40","2,519.65",575,"21,000.00",900,219.05,234.90,775,37.15,224.50,18.06,"2,579",-101,"18,473",
,"1,990",-1,188,10.74,"1,486.00",-111.80,25,"1,466.00","1,483.90",25,"22,000.00",25,431.75,449.90,25,66.65,442.00,17.60,"1,456",-200,"14,199",
,"6,349",280,"1,542",11.81,870.00,-73.10,50,866.00,870.00,50,"23,000.00",25,792.10,892.45,525,109.50,801.00,17.41,"1,379",-58,"6,480",
,"6,262",42,"2,499",12.27,451.00,-35.05,375,438.15,450.90,425,"24,000.00",25,"1,193.90","1,489.00","1,500",185.60,"1,359.90",18.16,520,107,553,
,"5,888",68,"1,102",12.24,195.00,1.45,25,183.00,194.80,250,"25,000.00",250,"1,250.05",-,-,-,-,-,-,-,-,
,"1,277",2,241,12.20,71.55,-2.10,250,70.45,77.95,250,"26,000.00",250,"1,750.05",-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,75,13.60,195.00,200,"27,000.00",-,-,-,-,-,-,-,-,-,-,-
