CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"17,000.00",750,24.95,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"18,000.00",750,37.40,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"19,000.00",750,70.15,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"20,000.00",750,170.35,-,-,-,139.90,-,-,-,2,
-,-,-,-,-,-,-,-,-,-,-,"21,000.00",750,150.05,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"22,000.00",750,330.05,799.00,25,-,500.00,-,-,-,2,
,-,-,-,-,-,-,-,-,-,-,"23,000.00",25,780.00,"1,487.00",25,-,780.00,16.89,1,1,4,
,-,-,-,-,-,-,100,50.10,-,-,"24,000.00",750,750.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,25,400.00,-,-,"25,000.00",750,"1,050.05",-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,300,10.10,-,-,"26,000.00",750,"1,425.05",-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,200,0.20,-,-,"27,000.00",25,"1,840.05",-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,300,0.10,-,-,"28,000.00",-,-,-,-,-,-,-,-,-,-,-
