CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,300,113,113,-,"2,430.00",-5.00,50,"2,420.05","2,485.35",50,"20,050.00",600,8.30,10.10,250,-0.85,10.10,19.03,"1,500",327,"1,710",
,"1,878",593,638,-,"2,397.20",44.95,450,"2,374.15","2,405.00",200,"20,100.00",300,9.80,10.35,350,-1.05,10.35,18.77,"6,914","-1,545","12,453",
,2,-,-,-,"2,516.50",0.05,"1,000","2,133.15","2,488.95",500,"20,150.00","3,600",9.75,13.00,50,-0.90,11.10,18.63,9,4,174,
,115,28,30,-,"2,298.00",13.00,50,"2,268.40","2,341.60",50,"20,200.00",50,10.00,-,-,-0.15,12.65,18.69,629,-48,485,
,11,-,-,-,"2,379.65",-,"1,000","2,047.80","2,364.10",500,"20,250.00",50,12.00,15.50,"1,800",-0.90,12.50,18.31,103,22,390,
,99,31,42,-,"2,226.15",26.15,50,"2,176.85","2,220.00",200,"20,300.00",200,11.75,12.85,400,-2.50,11.80,17.79,"1,407",50,"1,816",
,1,-,-,-,"2,321.35",-,"1,000","1,955.45","2,270.00","1,000","20,350.00",600,9.50,-,-,-1.95,10.75,17.19,3,-1,23,
,256,212,215,-,"2,093.75",21.25,50,"2,096.15","2,139.05",50,"20,400.00","1,300",11.45,14.85,550,-2.55,12.10,17.18,"1,681",2,"2,444",
,1,-,-,-,"2,229.20",-,"1,000","1,837.10","2,164.05",500,"20,450.00",600,11.80,14.30,50,-0.50,14.30,17.32,15,-15,39,
,"8,634",810,"1,725",-,"2,016.80",30.10,800,"1,984.20","2,031.50",50,"20,500.00",250,14.85,16.00,"1,000",-3.15,14.80,17.08,"16,227",276,"27,758",
,1,-,-,-,"2,128.50",-,"1,000","1,744.65","2,061.65",500,"20,550.00",600,12.65,27.40,"1,000",-3.60,15.90,16.94,91,25,439,
,94,12,12,-,"1,900.00",10.90,50,"1,898.10","1,942.15",50,"20,600.00",50,14.95,19.50,500,-4.25,16.55,16.71,"1,967",-462,"1,317",
,11,-,-,-,"1,880.00",-,"1,750","1,616.20","1,971.15",500,"20,650.00",600,14.10,-,-,-3.20,19.15,16.80,37,1,628,
,67,21,21,-,"1,795.80",-3.10,50,"1,804.75","1,850.00",50,"20,700.00",50,17.95,32.70,300,-4.95,19.15,16.44,"2,756",-153,"4,312",
,4,-,-,-,"2,070.00",-,"1,750","1,525.90","1,859.45",500,"20,750.00",600,18.15,28.05,"1,000",-5.85,20.60,16.30,68,-12,347,
,651,544,565,-,"1,738.25",38.25,100,"1,710.45","1,752.15",50,"20,800.00",950,21.90,24.45,50,-6.30,21.90,16.13,"4,772",810,"4,716",
,1,-,-,-,"1,890.00",-,"1,000","1,461.80","1,742.65","1,000","20,850.00",600,18.65,24.25,50,-5.85,24.55,16.13,79,39,127,
,240,200,205,-,"1,642.35",32.35,50,"1,613.10","1,669.80",50,"20,900.00",50,24.00,43.55,"1,150",-5.85,25.95,15.93,"3,220",692,"3,369",
,9,-,-,-,"1,580.00",-,"1,000","1,368.80","1,679.95",500,"20,950.00",600,21.65,37.25,"1,000",-5.80,28.75,15.90,206,73,215,
,"6,218","1,422","1,974",-,"1,539.35",33.35,50,"1,533.90","1,556.85",600,"21,000.00","1,100",30.10,31.95,700,-7.90,30.10,15.67,"28,737","5,752","42,976",
,2,-,-,-,"1,058.20",-,"1,000","1,295.70","1,559.40","1,000","21,050.00",600,25.65,41.60,100,-5.55,33.80,15.68,252,54,196,
,162,87,112,-,"1,455.95",5.95,50,"1,431.30","1,455.00",100,"21,100.00",50,33.00,36.05,350,-8.70,35.55,15.47,"3,597",-220,"6,723",
,4,-,-,-,"1,375.00",-,"1,750","1,162.05","1,498.40",500,"21,150.00","1,000",30.55,45.00,50,-7.70,38.50,15.35,800,-187,414,
,180,14,23,-,"1,340.00",-10.00,200,"1,335.70","1,369.80",200,"21,200.00",750,35.05,44.95,850,-14.45,35.05,14.60,"9,931","3,019","16,196",
,17,-,-,-,"1,286.05",-,"1,750","1,069.10","1,392.65",500,"21,250.00",100,43.00,60.20,"1,750",-7.65,45.40,15.16,331,-3,436,
,150,11,21,-,"1,250.00",27.00,50,"1,250.85","1,277.60",50,"21,300.00","1,000",46.55,49.95,50,-8.95,49.40,15.07,"7,297",-221,"8,796",
,5,-,-,-,"1,210.00",-,"1,750",982.75,"1,298.10",500,"21,350.00",300,32.95,71.25,"1,750",-9.35,52.70,14.90,"1,311",-676,308,
,456,313,338,-,"1,200.00",45.60,50,"1,163.15","1,187.75",50,"21,400.00",750,56.75,58.00,"2,150",-11.25,56.75,14.77,"7,633",-13,"12,477",
,20,7,14,-,"1,151.30",148.25,"2,300",984.15,"1,219.60","1,000","21,450.00","1,750",41.75,67.70,50,-9.90,63.10,14.78,329,36,453,
,"3,473",68,"1,884",-,"1,081.65",20.55,"1,150","1,076.75","1,090.00",100,"21,500.00",150,66.15,68.05,50,-12.90,68.00,14.66,"29,195",-975,"44,030",
,69,3,4,9.24,"1,076.20",213.75,50,"1,007.20","1,092.90",50,"21,550.00",50,62.30,89.05,800,-10.85,74.55,14.62,456,75,"1,419",
,"1,568",13,35,-,999.00,17.90,250,991.30,"1,014.70",100,"21,600.00",150,77.60,81.75,200,-13.40,79.45,14.45,"6,519",52,"14,215",
,153,-,1,10.00,990.00,37.30,300,856.70,"1,005.20","1,000","21,650.00",50,77.65,85.65,50,-11.80,86.95,14.41,879,32,861,
,"1,885",7,147,-,910.00,16.00,150,898.00,915.00,50,"21,700.00",950,89.05,92.00,50,-14.70,92.60,14.23,"13,645","1,398","15,767",
,91,-,-,-,852.40,-,50,829.65,964.95,"1,000","21,750.00","1,050",90.70,113.55,900,-17.90,99.20,14.09,"1,049",273,"1,430",
,"5,349",531,"1,168",7.55,829.50,19.10,150,817.30,839.50,50,"21,800.00",50,106.00,108.95,550,-16.95,109.00,14.08,"13,853","2,716","18,225",
,268,-2,12,5.52,770.00,-25.75,50,766.40,803.10,50,"21,850.00",50,110.10,121.15,100,-13.05,118.90,14.05,837,142,826,
,"3,697",-120,465,8.57,750.00,18.65,50,730.05,759.00,50,"21,900.00",200,123.55,133.25,400,-19.40,125.90,13.84,"6,836",-709,"9,780",
,169,11,62,8.61,707.30,16.15,100,695.65,746.25,50,"21,950.00",150,127.05,150.60,900,-19.60,138.50,13.87,871,73,633,
,"19,812","1,181","9,861",8.76,667.30,15.90,"1,000",664.40,674.00,350,"22,000.00",550,146.00,147.00,950,-20.80,147.00,13.68,"63,282","11,394","57,080",
,502,12,80,9.04,631.25,13.15,150,613.40,639.90,100,"22,050.00",900,147.60,172.35,100,-25.65,155.10,13.44,"1,380",-53,654,
,"4,008",155,"1,642",9.23,595.20,17.90,50,595.00,609.95,"1,900","22,100.00",250,169.50,172.30,"1,400",-21.45,172.30,13.57,"8,255",130,"6,596",
,329,-5,129,9.45,561.60,11.60,50,559.00,583.65,500,"22,150.00",50,180.00,198.15,900,-24.55,184.10,13.43,794,16,691,
,"9,405",-204,"4,067",9.51,526.00,17.70,200,524.50,526.00,50,"22,200.00",400,198.00,201.95,150,-20.15,201.90,13.50,"11,146",777,"13,669",
,535,-100,442,9.55,491.35,14.60,100,482.65,501.10,500,"22,250.00",650,211.05,216.70,400,-21.45,215.00,13.34,871,66,729,
,"7,888",162,"5,863",9.56,457.15,11.85,50,455.85,460.95,50,"22,300.00",100,225.60,232.95,250,-25.60,231.25,13.28,"10,919","1,346","10,572",
,636,-11,655,9.63,426.00,13.50,50,424.00,434.85,100,"22,350.00",900,231.45,253.50,50,-27.65,248.00,13.19,"1,602",228,801,
,"9,500",915,"16,432",9.64,394.85,11.05,100,394.95,395.00,350,"22,400.00",50,265.50,266.00,400,-29.15,266.00,13.12,"19,601","2,200","9,560",
,967,403,"2,255",9.75,367.55,9.75,800,360.25,370.00,100,"22,450.00",950,281.15,300.15,100,-31.80,281.15,12.91,"2,110",659,902,
,"37,632","2,436","36,419",9.68,337.00,11.15,50,335.60,336.95,50,"22,500.00",150,305.30,308.00,200,-32.45,305.55,13.00,"42,094","8,538","39,692",
,854,307,"1,162",9.69,310.10,8.50,"1,550",302.70,326.90,900,"22,550.00",750,290.15,340.00,50,-35.45,326.05,12.91,"1,391",662,969,
,"8,373","2,185","14,555",9.74,285.40,12.00,350,285.30,288.95,50,"22,600.00",300,350.05,358.00,50,-24.40,358.50,13.21,"18,018","8,517","12,159",
,647,113,872,9.84,263.80,12.85,900,240.70,281.10,900,"22,650.00",800,340.15,383.00,50,-25.35,383.00,13.18,414,10,556,
,"10,116",751,"12,108",9.74,238.00,11.75,50,236.70,240.45,50,"22,700.00",100,393.30,410.00,50,-31.20,402.55,12.95,"11,009","5,899","10,334",
